AGS,Kreis/Stadt,patienten_2013,summe_diagnosen,diagnosen_pro_1000,mre_2013,esbl_2013,vre_2013,mrsa_2013,change_percent
03255,Holzminden,19791,1084,54.7723712799,186,329,134,435,18
03153,Goslar,35933,1843,51.2899006484,590,332,131,790,35
09479,Wunsiedel i.Fichtelgebirge,19175,890,46.4146023468,380,159,15,336,153
05113,"Essen, Stadt",146119,5989,40.9871406183,1487,1817,1000,1685,-5
03101,"Braunschweig, Stadt",49515,1924,38.8569120469,407,510,354,653,2
05117,"Mülheim an der Ruhr, Stadt",41336,1602,38.7555641572,419,462,262,459,-13
03459,"Osnabrück, Kreis",80397,3086,38.3845168352,908,625,311,1242,24
05762,Höxter,36990,1404,37.9562043796,169,360,225,650,26
03241,Region Hannover,242124,9189,37.9516280914,2284,2135,1509,3261,26
16068,Sömmerda,19064,708,37.1380612673,231,217,44,216,166
03453,Cloppenburg,35164,1285,36.5430553976,435,209,12,629,110
03405,"Wilhelmshaven, Stadt",21293,772,36.2560465881,270,186,8,308,113
03256,Nienburg,26658,964,36.1617525696,334,260,26,344,58
14713,"Leipzig, Stadt",103178,3693,35.792513908,1742,1079,240,632,270
03152,Göttingen,54666,1954,35.7443383456,623,569,143,619,-1
05770,Minden-Lübbecke,68522,2438,35.5798137824,820,738,73,807,95
03157,Peine,28183,999,35.4469006138,307,210,30,452,39
09461,"Bamberg, Stadt",16774,592,35.2927149159,140,152,17,283,40
07332,Bad Dürkheim,30188,1063,35.212667285,271,443,121,228,53
09377,Tirschenreuth,19418,680,35.0190544855,236,241,23,180,162
16065,Kyffhäuserkreis,22273,775,34.7954923001,219,256,44,256,119
05513,"Gelsenkirchen, Stadt",77205,2674,34.635062496,994,639,76,965,11
16052,"Gera, Stadt",26695,923,34.5757632515,277,349,58,239,33
03455,Friesland,22576,775,34.3284904323,254,185,21,315,30
09462,"Bayreuth, Stadt",15958,547,34.2774783807,237,116,24,170,35
03156,Osterode am Harz,22843,780,34.1461279166,165,220,94,301,-46
06531,Gießen,54297,1853,34.1271156786,847,483,89,434,28
05558,Coesfeld,51114,1742,34.0806823962,639,277,106,720,42
09464,"Hof, Stadt",11905,402,33.7673246535,129,119,15,139,-14
11000,Berlin,674835,22765,33.7341720569,9011,4906,1640,7208,32
16055,"Weimar, Stadt",15631,525,33.5871025526,139,229,61,96,31
03251,Diepholz,43855,1457,33.2231216509,552,245,36,624,71
16062,Nordhausen,22779,753,33.0567628078,71,363,139,180,-3
03155,Northeim,36706,1212,33.0191249387,354,275,77,506,12
06635,Waldeck-Frankenberg,44049,1427,32.3957411065,385,450,114,478,107
03461,Wesermarsch,20812,674,32.3851624063,269,101,13,291,56
08221,Heidelberg,19907,638,32.0490279801,237,158,125,118,-3
09272,Freyung-Grafenau,19654,624,31.7492622367,126,189,182,127,26
12060,Barnim,42647,1345,31.5379745351,370,444,136,395,45
03404,"Osnabrück, Stadt",32761,1028,31.3787735417,353,182,111,382,6
16071,Weimarer Land,20838,651,31.2410020155,210,232,71,138,74
09478,Lichtenfels,18143,566,31.1966047511,116,227,27,196,2
03252,Hameln-Pyrmont,36964,1152,31.1654582837,329,321,65,437,19
10041,Regionalverband Saarbrücken,82238,2560,31.1291617014,813,764,204,779,-8
06533,Limburg-Weilburg,37885,1170,30.8829351986,372,224,188,386,-5
05911,"Bochum, Stadt",97180,2971,30.572134184,1010,715,251,995,27
13073,Vorpommern-Rügen,55645,1700,30.5508131908,499,317,102,782,
14523,Vogtlandkreis,64512,1969,30.521453373,723,455,138,653,221
09463,"Coburg, Stadt",9721,296,30.4495422282,43,115,49,89,-56
03352,Cuxhaven,46509,1399,30.0801995313,428,364,99,508,41
15084,Burgenlandkreis,50245,1510,30.0527415663,291,641,256,322,57
