plz,ags
01067,14262
01069,14262
01097,14262
01099,14262
01108,14262
01109,14262
01127,14262
01129,14262
01139,14262
01156,14262
01157,14262
01159,14262
01169,14262
01187,14262
01189,14262
01217,14262
01219,14262
01237,14262
01239,14262
01257,14262
01259,14262
01277,14262
01279,14262
01307,14262
01309,14262
01324,14262
01326,14262
01328,14262
01445,14280
01454,14292
01454,14292
01458,14292
01462,14262
01465,14262
01465,14262
01468,14280
01471,14280
01477,14292
01478,14262
01558,14285
01561,14285
01561,14285
01561,14285
01561,14285
01561,14285
01561,14285
01561,14285
01561,14285
01561,14285
01587,14285
01589,14285
01591,14285
01594,14285
01594,14285
01609,14285
01609,14285
01609,14285
01612,14285
01612,14285
01612,14285
01616,14285
01619,14285
01619,14285
01623,14280
01623,14280
01623,14280
01640,14280
01662,14280
01665,14280
01665,14280
01665,14280
01665,14280
01665,14280
01683,14280
01683,14280
01689,14280
01689,14280
01705,14290
01723,14290
01728,14290
01731,14290
01734,14290
01737,14290
01738,14290
01744,14290
01762,14290
01762,14290
01768,14290
01768,14290
01768,14290
01773,14290
01774,14290
01774,14290
01776,14290
01778,14290
01796,14287
01796,14287
01796,14287
01809,14287
01809,14287
01809,14287
01814,14287
01814,14287
01814,14287
01814,14287
01816,14287
01819,14287
01824,14287
01824,14287
01824,14287
01824,14287
01825,14287
01829,14287
01833,14287
01833,14287
01844,14287
01844,14287
01847,14287
01848,14287
01855,14287
01855,14287
01877,14272
01877,14272
01877,14272
01877,14272
01877,14272
01896,14292
01896,14292
01896,14292
01900,14292
01900,14292
01904,14272
01904,14272
01906,14272
01909,14272
01909,14272
01917,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01920,14292
01936,14292
01936,14292
01936,14292
01936,14292
01936,14292
01936,14292
01936,14292
01936,14292
01945,12066
01945,12066
01945,12066
01945,12066
01945,12066
01945,12066
01945,12066
01945,12066
01945,12066
01968,12066
01968,12066
01979,12066
01983,12066
01983,12066
01987,12066
01990,12066
01990,12066
01990,12066
01993,12066
01994,12066
01998,12066
02625,14272
02627,14272
02627,14272
02627,14272
02627,14272
02633,14272
02633,14272
02681,14272
02681,14272
02681,14272
02681,14272
02689,14272
02692,14272
02692,14272
02692,14272
02694,14272
02694,14272
02694,14272
02699,14272
02699,14272
02699,14272
02708,14286
02708,14286
02708,14286
02708,14286
02708,14286
02708,14286
02708,14286
02708,14286
02708,14286
02727,14286
02730,14286
02733,14272
02736,14286
02736,14286
02739,14286
02742,14286
02742,14286
02747,14286
02747,14286
02747,14286
02747,14286
02748,14286
02763,14286
02763,14286
02763,14286
02779,14286
02779,14286
02782,14286
02785,14286
02788,14286
02788,14286
02791,14286
02794,14286
02796,14286
02797,14286
02799,14286
02826,14263
02827,14263
02828,14263
02829,14284
02829,14284
02829,14284
02829,14284
02894,14284
02894,14284
02894,14284
02899,14286
02899,14286
02906,14284
02906,14284
02906,14284
02906,14284
02906,14284
02906,14284
02906,14284
02923,14284
02923,14284
02923,14284
02923,14284
02929,14284
02943,14284
02943,14284
02953,14284
02953,14284
02956,14284
02957,14284
02957,14284
02959,14284
02959,14284
02959,14284
02977,14264
02979,14292
02979,14292
02991,14292
02991,14292
02991,14292
02994,14292
02994,14292
02997,14292
02999,14292
02999,14284
02999,14292
03042,12052
03044,12052
03046,12052
03048,12052
03050,12052
03051,12052
03052,12052
03053,12052
03054,12052
03055,12052
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03058,12071
03096,12071
03096,12071
03096,12071
03096,12071
03096,12071
03096,12071
03099,12071
03103,12066
03103,12066
03116,12071
03119,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03130,12071
03149,12071
03149,12071
03149,12071
03159,12071
03159,12071
03159,12071
03172,12071
03172,12071
03172,12071
03172,12071
03172,12071
03172,12071
03172,12071
03172,12071
03185,12071
03185,12071
03185,12071
03185,12071
03185,12071
03185,12071
03185,12071
03185,12071
03197,12071
03197,12071
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03205,12066
03222,12066
03222,12066
03222,12066
03222,12066
03222,12066
03222,12066
03222,12066
03222,12066
03226,12066
03226,12066
03226,12066
03226,12066
03226,12066
03229,12066
03229,12066
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03238,12062
03246,12062
03246,12062
03246,12062
03249,12062
03249,12062
03249,12062
03249,12062
03249,12062
03249,12062
03249,12062
03249,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
03253,12062
04103,14365
04105,14365
04107,14365
04109,14365
04129,14365
04155,14365
04157,14365
04159,14365
04177,14365
04179,14365
04205,14365
04207,14365
04209,14365
04229,14365
04249,14365
04275,14365
04277,14365
04279,14365
04289,14365
04299,14365
04315,14365
04317,14365
04318,14365
04319,14365
04329,14365
04347,14365
04349,14365
04357,14365
04416,14379
04420,14379
04420,14379
04425,14374
04435,14374
04442,14379
04451,14383
04460,14379
04463,14379
04509,14374
04509,14374
04509,14374
04509,14374
04509,14374
04509,14374
04509,14374
04509,14374
04509,14374
04519,14374
04523,14379
04523,14379
04539,14379
04552,14379
04552,14379
04552,14379
04564,14379
04565,14379
04567,14379
04571,14379
04574,14379
04574,14379
04575,14379
04579,14379
04600,16077
04603,16077
04603,16077
04603,16077
04603,16077
04610,16077
04610,16077
04613,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04617,16077
04618,16077
04618,16077
04618,16077
04618,16077
04618,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04626,16077
04639,16077
04643,14379
04651,14379
04651,14383
04654,14379
04655,14379
04657,14379
04668,14383
04668,14383
04668,14383
04668,14383
04668,14383
04668,14383
04680,14383
04680,14383
04683,14383
04683,14383
04685,14383
04687,14383
04688,14383
04703,14375
04703,14375
04703,14375
04720,14375
04720,14375
04720,14375
04720,14375
04720,14375
04720,14375
04736,14375
04741,14375
04741,14375
04746,14375
04749,14375
04758,14389
04758,14389
04758,14389
04769,14389
04769,14389
04769,14389
04774,14389
04779,14389
04808,14383
04808,14383
04808,14383
04808,14383
04808,14383
04821,14383
04827,14383
04828,14383
04838,14374
04838,14374
04838,14374
04838,14374
04838,14389
04838,14374
04849,14374
04849,14374
04860,14389
04860,14389
04860,14389
04860,14389
04874,14389
04880,14389
04880,14389
04880,14389
04886,14389
04886,14389
04886,14389
04889,14389
04895,12062
04910,12062
04910,12062
04916,12062
04916,12062
